"time","P_vent","P_technique","P_room_heating","P_room_cooling","P_pump","P_lightnig","P_heating","P_all_power","E_lighting","Q_rate_equipment","Q_rate_people","P_condition_all","T_amb","T_rate","T_rate_room","T_room","der(T_amb)","der(T_room)","n_rate_equipment","n_rate_humidity","n_rate_people","temp_val"
109166,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22470093284007,2.505676841038732e-06,2.505829502732379e-06,-10.03910723757972,2.505676841038732e-06,2.505829502732379e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109227,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22454938950472,2.505676841038732e-06,2.505806768062143e-06,-10.038955693367,2.505676841038732e-06,2.505806768062143e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109287,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22439784616937,2.505676841038732e-06,2.505784033437936e-06,-10.03880414915428,2.505676841038732e-06,2.505784033437936e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109348,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22424630283403,2.505676841038732e-06,2.505761298813728e-06,-10.03865260494156,2.505676841038732e-06,2.505761298813728e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109408,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22409475949868,2.505676841038732e-06,2.505738564143492e-06,-10.03850106072883,2.505676841038732e-06,2.505738564143492e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109469,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22394321616334,2.505676841038732e-06,2.505715829519285e-06,-10.03834951651611,2.505676841038732e-06,2.505715829519285e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109529,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22379167282799,2.505676841038732e-06,2.505693094895078e-06,-10.03819797230339,2.505676841038732e-06,2.505693094895078e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109590,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22364012949264,2.505676841038732e-06,2.505690587871559e-06,-10.0380464288713,2.505676841038732e-06,2.505690587871559e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109650,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2234885861573,2.505676841038732e-06,2.505689764594237e-06,-10.03789488550418,2.505676841038732e-06,2.505689764594237e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109711,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22333704282195,2.505676841038732e-06,2.505688941270885e-06,-10.03774334213706,2.505676841038732e-06,2.505688941270885e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109771,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2231854994866,2.505676841038732e-06,2.505688117993563e-06,-10.03759179876994,2.505676841038732e-06,2.505688117993563e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109832,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22303395615126,2.505676841038732e-06,2.505687294670211e-06,-10.03744025540282,2.505676841038732e-06,2.505687294670211e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109892,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22288241281591,2.505676841038732e-06,2.50568647134686e-06,-10.0372887120357,2.505676841038732e-06,2.50568647134686e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
109953,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22273086948057,2.505676841038732e-06,2.505685648069537e-06,-10.03713716866858,2.505676841038732e-06,2.505685648069537e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110013,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22257932614522,2.505676841038732e-06,2.505684824746186e-06,-10.03698562530146,2.505676841038732e-06,2.505684824746186e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110074,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22242778280988,2.505676841038732e-06,2.505684001422834e-06,-10.03683408193434,2.505676841038732e-06,2.505684001422834e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110134,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22227623947453,2.505676841038732e-06,2.505683178145512e-06,-10.03668253856722,2.505676841038732e-06,2.505683178145512e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110195,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22212469613918,2.505676841038732e-06,2.50568235482216e-06,-10.0365309952001,2.505676841038732e-06,2.50568235482216e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110255,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22197315280384,2.505676841038732e-06,2.505681531498808e-06,-10.03637945183299,2.505676841038732e-06,2.505681531498808e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110316,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22182160946849,2.505676841038732e-06,2.505680708221485e-06,-10.03622790846587,2.505676841038732e-06,2.505680708221485e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110376,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.22167006613314,2.505676841038732e-06,2.505679884898134e-06,-10.03607636509875,2.505676841038732e-06,2.505679884898134e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
110436,0.1202724883698592,0.03006812209246479,0.7852690109664451,0,0.112755457846743,0.8118392964965493,4.510218313869718,6.370422689641779,0.9020436627739435,3.006812209246479,12.02724883698592,0.7852690109664451,-10.2215185227978,2.505676841038732e-06,2.505679061574782e-06,-10.03592482173163,2.505676841038732e-06,2.505679061574782e-06,0.3006812209246479,0.001503406104623239,0.6013624418492958,0.003006812209246479
